fna,gna,nam,tip,dir,bar,com,tel,ema,web,fab,twr,sag,geometry
Biblioteca Popular y Asociacion Cultural  Tesis 11,Biblioteca,Asociacion Cultural  Tesis 11,Biblioteca Popular,Junin 165,Balvanera,3,4953-4856,tesis11@tesis11.org.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (26137.37260675729 72403.51492358271)
Biblioteca Pública Alfonsina Storni,Biblioteca,Alfonsina Storni,Biblioteca Publica,Republica Bolivariana De Venezuela 1538,Monserrat,1,4922-0020,biblioteca_storni@buenosaires.gob.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (26893.902837751866 71611.37309838)
Biblioteca Pública Alvaro Yunque,Biblioteca,Alvaro Yunque,Biblioteca Publica,Soldado De La Frontera Av. 5210,Villa Lugano,8,4605-0603,biblioteca_yunque@buenosaires.gob.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (19977.77023053172 63816.71520367018)
Biblioteca Pública Antonio Devoto (Con Anexo Infantil),Biblioteca,Antonio Devoto (Con Anexo Infantil),Biblioteca Publica,Bahia Blanca 4025,Villa Devoto,11,4501-4320,devoto.dgplbc@gmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (15635.04107333078 73321.64315418382)
Biblioteca Pública Baldomero Fernandez Moreno,Biblioteca,Baldomero Fernandez Moreno,Biblioteca Publica,"Arenal, Concepcion 4206",Chacarita,15,4855-7508,biblioteca_moreno@buenosaires.gob.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios/,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (21187.49350407827 74205.527121178)
Biblioteca Pública Benito Lynch (Con Anexo Infantil),Biblioteca,Benito Lynch (Con Anexo Infantil),Biblioteca Publica,Yrupe 6714,Mataderos,9,4687-1977,lynch.dgplbc@gmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios/,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (16923.842046454036 65738.6315827878)
Biblioteca Pública Brigadier General Cornelio Saavedra,Biblioteca,Brigadier General Cornelio Saavedra,Biblioteca Publica,"Larralde, Crisologo Av. 6293",Villa Urquiza,12,4571-2538,biblioteca_saavedra@buenosaires.gob.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (15968.643715936616 76715.36550041476)
Biblioteca Pública Carlos Guido y Spano,Biblioteca,Carlos Guido y Spano,Biblioteca Publica,Guemes 4601,Palermo,14,4773-5862,guidoyspano.dgplbc@gmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (23617.995870177518 75314.58902193593)
Biblioteca Pública Casa de la Lectura y la Escritura,Biblioteca,Casa de la Lectura y la Escritura,Biblioteca Publica,Lavalleja 924,Villa Crespo,15,5197-5084,casadelalectura.dgplbc@gmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (23073.472322281094 73480.52162480635)
Biblioteca Pública Enrique Banchs (Infanto Juvenil),Biblioteca,Enrique Banchs (Infanto Juvenil),Biblioteca Publica,Caseros Av. 3100,Parque Patricios,4,4943-1078,biblioteca_banchs@buenosaires.gob.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (25123.422659515985 69083.18960750598)
Biblioteca Pública Estanislao del Campo,Biblioteca,Estanislao del Campo,Biblioteca Publica,De Las Artes 1210,Parque Chacabuco,7,4926-0161,biblioteca_delcampo@buenosaires.gob.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (22289.592165708404 69468.54316472185)
Biblioteca Pública Evaristo Carriego,Biblioteca,Evaristo Carriego,Biblioteca Publica,Honduras Av. 3784,Palermo,14,4963-2194,carriego.dgplbc@gmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (24329.448787188714 73895.17182840276)
Biblioteca Pública Hilario Ascasubi,Biblioteca,Hilario Ascasubi,Biblioteca Publica,"Diaz, Cesar, Gral. 4219",Floresta,10,4566-5171,biblioteca_ascasubi@buenosaires.gob.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (17348.454113877295 70657.11547162973)
